0	Velikite Balgari ( , `` The Great Bulgarians `` ) was the Bulgarian spin-off of the 2002 program `` 100 Greatest Britons `` produced by the BBC .	Aired on the Bulgarian National Television 's Kanal 1 , its first stage began on 9 June 2006 and finished on 10 December , with a show on 23 December announcing the names of the Top 100 as chosen by popular vote .	The Top 10 were announced in alphabetical order .	In the second stage , which lasted until 17 February 2007 , the viewers determined the order in the Top 10 .	Documentaries dedicated to every Top 10 personality were aired during the second stage .
0	The Ministry of Internal Affairs of the Republic of Serbia ( ) , is a cabinet-level ministry in the Government of Serbia .	The ministry is responsible for local and national Law Enforcement and Police services with municipal and district branches throughout the country .	Its core responsibilities include : crime prevention , criminal apprehension , investigations , customs and border control , counter-terrorism , anti-corruption , anti-narcotics and disaster relief .	The ministry is also responsible for issuing passports and personal identification to citizens .	The current minister of internal affairs is Nebojša Stefanović .
0	Blowing snow is snow lifted from the surface by the wind , at a height of 8 feet ( 2 metres ) or more , that will reduce visibility .	Blowing snow can come from falling snow or snow that already accumulated on the ground but is picked up and blown about by strong winds .	It is one of the classic requirements for a blizzard .	Its METAR code is BLSN .	If the snow remains below 8 feet ( 2 m ) , it will be called Drifting snow ( METAR code DRSN ) .
2	The strait runs through the municipalities of Haugesund , Karmøy , and Bokn .	Karmsund is a strait located in Rogaland county , Norway .	The long strait divides the island of Karmøy on the west and the mainland of Norway and island of Vestre Bokn in the east .	The town of Haugesund lies at the northern end of the strait and the town of Kopervik lies in the central part of the strait , and the village of Skudeneshavn lies near the southern end where the strait flows into the Boknafjorden .	The Karmsund Bridge , a part of the European route E134 highway , links Karmøy to the mainland .
4	The federation is also in charge of its football clubs and the Bahamanian national team .	The Bahamas Football Association is the official football federation in The Bahamas .	It was founded in 1967 for men , women , and children to learn more about football .	It affiliated with FIFA in 1968 .	The headquarters are in Nassau .
4	The fund is controlled by the Ministry of Finance .	The Russian National Wealth Fund is Russia 's sovereign wealth fund .	It was created after the Stabilization Fund of the Russian Federation was split into two separate investment funds on 30 January 2008 .	The two funds are the Reserve Fund , which is invested abroad in low-yield securities and used when oil and gas incomes fall , and the National Wealth Fund , which invests in riskier , higher return vehicles , as well as federal budget expenditures .	The Reserve Fund was given $ 125 billion and the National Wealth Fund was given $ 32 billion .
3	During this period , he was instrumental in building a number of business practices from scratch .	A. Lakshman Rao is the former Chief Operating Officer of Wipro Technologies .	Rao joined Wipro ’ s Information Technology business as a founder member in 1980 and contributed significantly towards building a R & D team .	From 1993 to 1996 , he worked as Vice President ( Technical ) at Wipro Systems and played an important role in building competence in Client / Server and Object technologies .	Testing services , business intelligence , data warehousing and e-Enabling are some of them .
3	He is credited with founding the localization department at the company which has been praised for its high quality translations .	Richard Mark Honeywood is a video game localization director and professional English / Japanese translator .	He grew up in Australia , moving to Japan after graduating with degrees in computer science and Japanese from the University of Sydney .	Honeywood initially worked for several Japanese video game developers as a programmer , but moved into localization after joining Square in 1997 .	During his tenure at Square ( later Square Enix ) , Honeywood expanded the team from Japanese to English translation to a partner of the development team , creating localized text and graphics for multiple languages and ensuring that the video game code supported multiple languages easily .
4	, but rather imaginary books that do not exist .	A fictional book is a non-existent book created specifically for ( i.e .	within ) a work of fiction .	This is `` not `` a list of works of fiction ( i.e .	, novels , mysteries , etc . )
4	The temple is an excellent example of Kerala Vasthu Vidya .	Palkulangara Devi Temple ( Malayalam : പാല ് ‍ കുളങ ് ങര ദേവി ക ് ഷേത ് രം ) is a Hindu temple in Palkulangara , Thiruvananthapuram , Kerala , India .	This place is around 1 km from Pettah Junction , 700 m from West Fort Junction and 1.5 km from Chakka bypass Junction .	It is about 1.5 kilometres to the west of Sree Padmanabhaswamy Temple in Thiruvananthapuram city .	Now the temple is under the control of Sree Palkulangara Devi Temple Trust .
3	( WCM ) and Magyar Turizmus Zrt .	Balatonring was to be a 4.650 km long motor racing circuit , located in Sávoly , Hungary near Central and South Europe 's biggest lake Balaton .	The circuit is located about 180 km away from Budapest , the capital city of Hungary .	Spain 's Balatonring Zrt was to operate the racing circuit with 70 % share owned by Worldwide Circuit Management S.L .	( Hungarian Tourism Board ) owning 30 % .
